epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.018,0.92471,3.95015,1.29796,0.00581,0.98575,0.14326,0.11444,0.5555,4.02929,0.9147,0.00013842,0.00013842,0.00013842
2,786.409,0.71193,3.23425,1.11509,0.00788,1,0.15652,0.12897,0.57507,3.73407,0.90017,0.000278896,0.000278896,0.000278896
3,1178.61,0.71718,2.88602,1.11533,0.34998,0.06713,0.16554,0.13507,0.62913,3.40223,0.92866,0.000413587,0.000413587,0.000413587
4,1527.08,0.72538,2.60726,1.08082,0.31906,0.30929,0.18626,0.14262,0.76399,3.32539,1.04504,0.000542491,0.000542491,0.000542491
5,1865.88,0.69656,2.37674,1.04372,0.43748,0.36782,0.24965,0.19101,0.77764,3.48144,1.11125,0.000665609,0.000665609,0.000665609
6,2192.98,0.70818,2.2257,1.05165,0.36547,0.5222,0.37997,0.33059,0.7007,3.0457,1.01428,0.000692869,0.000692869,0.000692869
7,2534.3,0.71585,2.0872,1.0503,0.36041,0.46278,0.41617,0.3354,0.7456,2.85495,1.04221,0.000677643,0.000677643,0.000677643
8,2913.66,0.70549,2.08475,1.03988,0.45669,0.5515,0.49192,0.39564,0.70836,2.81187,1.02279,0.000662417,0.000662417,0.000662417
9,3289.23,0.70483,1.91114,1.03738,0.62859,0.45743,0.52421,0.43201,0.68771,2.77218,0.97804,0.00064719,0.00064719,0.00064719
10,3672.35,0.68286,1.76586,1.02039,0.3751,0.64569,0.53796,0.43465,0.69228,2.24213,0.97886,0.000631964,0.000631964,0.000631964
11,4066.55,0.68446,1.69786,1.02283,0.58364,0.63178,0.58276,0.48552,0.67203,2.09711,0.96097,0.000616738,0.000616738,0.000616738
12,4406.36,0.64331,1.5453,1.01275,0.5719,0.59268,0.61067,0.49622,0.69181,2.22886,0.9816,0.000601512,0.000601512,0.000601512
13,4741.19,0.66324,1.57911,1.03752,0.6612,0.68709,0.71139,0.60753,0.65023,1.9116,0.9689,0.000586286,0.000586286,0.000586286
14,5078.01,0.619,1.4984,1.00572,0.61381,0.7523,0.71259,0.61527,0.61396,1.85186,0.95865,0.000571059,0.000571059,0.000571059
15,5413.99,0.64291,1.39946,0.99634,0.71218,0.70123,0.76752,0.66472,0.60714,1.65762,0.92832,0.000555833,0.000555833,0.000555833
16,5746.92,0.64561,1.40119,1.01492,0.74611,0.66358,0.8089,0.70221,0.6171,1.71365,0.9207,0.000540607,0.000540607,0.000540607
17,6087.19,0.60816,1.37556,0.97579,0.78257,0.64081,0.7699,0.66703,0.5942,1.66474,0.9249,0.000525381,0.000525381,0.000525381
18,6419.17,0.59582,1.24968,0.98581,0.66529,0.68817,0.73352,0.63339,0.61988,1.66426,0.95176,0.000510155,0.000510155,0.000510155
19,6755.56,0.57213,1.25872,0.97176,0.62433,0.70377,0.70797,0.60751,0.58413,1.76787,0.91975,0.000494928,0.000494928,0.000494928
20,7094.7,0.57519,1.20038,0.97696,0.75976,0.67371,0.72587,0.62707,0.59023,1.71841,0.94037,0.000479702,0.000479702,0.000479702
21,7439.21,0.58406,1.21294,0.97256,0.6991,0.76383,0.81421,0.67956,0.60658,1.45551,0.92906,0.000464476,0.000464476,0.000464476
22,7782.89,0.56211,1.15025,0.95849,0.69114,0.73523,0.74894,0.64507,0.56547,1.60647,0.89976,0.00044925,0.00044925,0.00044925
23,8129.96,0.56867,1.12967,0.96938,0.83727,0.77305,0.8577,0.74586,0.58071,1.30131,0.90801,0.000434024,0.000434024,0.000434024
24,8510.01,0.55953,1.03854,0.95606,0.66956,0.80146,0.84806,0.72194,0.57932,1.34357,0.90277,0.000418797,0.000418797,0.000418797
25,8846,0.55418,1.01231,0.96114,0.76475,0.7149,0.83458,0.70919,0.57768,1.36619,0.91392,0.000403571,0.000403571,0.000403571
26,9189.69,0.56495,0.99901,0.9756,0.7736,0.76455,0.84904,0.72021,0.5863,1.32341,0.91325,0.000388345,0.000388345,0.000388345
27,9522.18,0.54176,0.98772,0.9537,0.89624,0.78417,0.8922,0.76323,0.61066,1.16063,0.91714,0.000373119,0.000373119,0.000373119
28,9857.98,0.4972,0.93597,0.94671,0.86849,0.8019,0.88192,0.76837,0.56673,1.19756,0.8925,0.000357893,0.000357893,0.000357893
29,10196,0.52147,0.95503,0.9647,0.8626,0.75629,0.85322,0.74665,0.5627,1.24284,0.8843,0.000342666,0.000342666,0.000342666
30,10536.1,0.50889,0.8784,0.94264,0.79337,0.80452,0.88095,0.76358,0.57704,1.22605,0.91088,0.00032744,0.00032744,0.00032744
